timestamp,violations,snapshot
2026-05-09 09:06:22.496,1,violations\snap_20260509_090622.jpg
2026-05-09 09:06:24.794,1,violations\snap_20260509_090624.jpg
2026-05-09 09:06:27.051,1,violations\snap_20260509_090627.jpg
2026-05-09 09:06:29.100,1,violations\snap_20260509_090629.jpg
2026-05-09 09:06:31.446,1,violations\snap_20260509_090631.jpg
2026-05-09 09:06:33.560,1,violations\snap_20260509_090633.jpg
2026-05-10 14:34:23.167,2,violations\snap_20260510_143423.jpg
2026-05-10 14:34:25.395,2,violations\snap_20260510_143425.jpg
2026-05-10 14:34:27.545,1,violations\snap_20260510_143427.jpg
2026-05-10 14:34:29.559,1,violations\snap_20260510_143429.jpg
2026-05-10 14:34:31.998,2,violations\snap_20260510_143431.jpg
2026-05-10 14:34:34.282,2,violations\snap_20260510_143434.jpg
2026-05-10 14:34:36.565,2,violations\snap_20260510_143436.jpg
2026-05-10 14:34:38.630,2,violations\snap_20260510_143438.jpg
2026-05-10 14:34:40.692,1,violations\snap_20260510_143440.jpg
2026-05-10 14:34:42.840,2,violations\snap_20260510_143442.jpg
2026-05-10 14:34:45.183,1,violations\snap_20260510_143445.jpg
2026-05-10 14:34:47.205,3,violations\snap_20260510_143447.jpg
2026-05-10 14:34:49.460,2,violations\snap_20260510_143449.jpg
2026-05-10 14:34:51.856,1,violations\snap_20260510_143451.jpg
2026-05-10 14:34:54.234,2,violations\snap_20260510_143454.jpg
2026-05-10 14:34:56.632,2,violations\snap_20260510_143456.jpg
2026-05-10 14:34:58.773,3,violations\snap_20260510_143458.jpg
2026-05-10 14:35:00.999,3,violations\snap_20260510_143500.jpg
2026-05-10 14:35:03.367,3,violations\snap_20260510_143503.jpg
2026-05-10 14:35:05.843,1,violations\snap_20260510_143505.jpg
2026-05-10 14:35:07.928,1,violations\snap_20260510_143507.jpg
2026-05-10 14:35:11.145,1,violations\snap_20260510_143511.jpg
